Year,State,Overall Homeless,Under 18,Age 18 to 24,Over 24,Female,Male,Transgender,Non-binary,Non-Hispanic/Non-Latin,Hispanic/Latin,White,African American,Asian American,Indigenous,Pacific Islander,Multiple Races,Overall Homeless Veterans,Veterans - Female,Veterans - Male,Veterans - Transgender,Veterans-Non-binary,Veterans - Non-Hispanic/Non-Latin,Veterans - Hispanic/Latin,Veterans - White,Veterans - African American,Veterans - Asian American,Veterans - Indigenous,Veterans - Pacific Islander,Veterans - Multiple Races
2014,AK,1784,397,202,1185,799,984,1,0,1720,64,653,142,14,781,50,144,178,7,171,0,0,173,5,111,21,0,37,0,9
2014,AL,4561,772,366,3423,1681,2806,4,0,4368,123,1982,2345,17,20,2,125,542,49,488,1,0,535,2,249,282,0,2,0,4
2014,AR,2936,355,315,2266,1113,1098,0,0,1669,542,1445,714,11,6,2,33,361,71,179,0,0,241,7,143,96,1,1,0,7
2014,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,AZ,10495,2679,1024,6792,3900,5531,15,0,6984,2462,6056,1823,33,766,67,701,858,62,678,3,0,639,94,536,122,1,49,6,19
2014,CA,113952,15057,13853,85042,20974,30954,95,0,35550,16473,31703,13921,1030,1916,758,2695,12096,1038,4804,8,0,3722,1755,3153,1765,104,190,77,188
2014,CO,10028,2835,1004,6189,3701,5284,38,0,6419,2604,5330,2060,91,474,64,1004,753,63,602,1,0,589,71,469,115,2,27,4,43
2014,CT,4450,836,308,3306,1404,2125,2,0,2572,959,1680,1505,30,113,78,125,295,14,207,1,0,205,16,141,72,1,3,1,3
2014,DC,7748,2241,837,4670,3326,4406,16,0,7417,331,552,6886,38,13,2,257,406,47,359,0,0,384,22,44,343,4,0,0,15
2014,DE,901,220,51,630,390,511,0,0,843,58,358,519,2,5,2,15,93,5,88,0,0,91,2,42,49,0,0,0,2
2014,FL,41542,8579,3522,29441,11959,22057,40,0,29847,4209,20106,12743,130,270,80,727,4552,518,3446,0,0,3373,428,2511,1212,8,30,2,38
2014,GA,16521,2716,1246,12559,3920,6967,27,0,10470,444,2371,8126,34,7,10,366,1443,144,865,0,0,940,15,190,681,0,0,2,82
2014,GU,1356,535,149,672,658,697,1,0,1345,11,11,5,25,7,1277,31,36,0,36,0,0,34,2,4,2,1,2,26,1
2014,HI,6918,1864,507,4547,2896,3998,24,0,6056,862,1683,227,394,87,2603,1924,593,43,549,1,0,539,54,267,58,41,15,101,111
