Year,State,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Gender that is not Singularly Female or Male,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Overall Homeless Veterans,Overall Homeless Veterans - Female,Overall Homeless Veterans - Male,Overall Homeless Veterans - Transgender,Overall Homeless Veterans - Gender that is not Singularly Female or Male,Overall Homeless Veterans - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless Veterans - Hispanic/Latin(o)(a)(x),Overall Homeless Veterans - White,"Overall Homeless Veterans - Black, African American, or African",Overall Homeless Veterans - Asian or Asian American,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,Overall Homeless Veterans - Multiple Races
2021,AK,"1,949",302,305,"1,342",672,"1,272",5,0,"1,841",108,599,141,27,856,61,265,36,8,28,0,0,34,2,15,4,1,13,0,3
2021,AL,"2,556",312,74,"1,691",789,"1,281",6,1,"1,895",182,934,"1,067",6,12,1,57,241,21,220,0,0,236,5,108,127,0,1,1,4
2021,AR,"2,139",193,165,"1,781",818,"1,319",0,2,"2,006",133,"1,490",552,9,49,5,34,102,10,92,0,0,101,1,58,38,1,2,1,2
2021,AS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,AZ,"5,460","1,387",347,"3,726","2,359","3,074",21,6,"3,994","1,466","3,140","1,391",45,429,19,436,637,53,582,1,1,571,66,465,113,3,26,3,27
2021,CA,"57,468","12,424","4,288","39,950","25,230","31,319",338,126,"37,413","19,600","33,081","17,122","1,157","1,729",753,"3,171","3,351",251,"3,090",7,3,"2,807",544,"2,009","1,000",56,100,48,138
2021,CO,"8,544","1,545",457,"6,542","3,238","5,266",21,19,"6,049","2,495","5,589","1,736",42,384,150,643,642,65,574,1,2,556,86,446,132,3,27,6,28
2021,CT,"2,593",385,184,"2,024",987,"1,596",8,2,"1,893",700,"1,267",994,17,33,14,268,125,10,115,0,0,108,17,77,41,0,2,0,5
2021,DC,"5,111",752,502,"3,857","1,836","3,215",43,17,"4,849",262,401,"4,487",38,22,18,145,187,20,167,0,0,182,5,26,154,1,2,0,4
2021,DE,"1,579",509,122,948,760,817,2,0,"1,465",114,551,967,6,2,4,49,74,10,64,0,0,70,4,28,45,0,0,0,1
2021,FL,"21,121","3,497",940,"13,915","6,845","11,438",30,39,"15,659","2,693","10,716","7,666",85,969,80,603,"2,011",136,"1,748",1,0,"1,747",138,"1,186",623,7,19,7,43
2021,GA,"5,486","1,265",347,"3,647","2,259","2,884",23,93,"4,988",271,"1,316","3,722",41,13,13,154,297,30,265,1,1,290,7,68,217,1,4,3,4
2021,GU,199,102,14,83,103,96,0,0,196,3,0,2,2,0,184,11,12,1,11,0,0,12,0,0,2,0,0,9,1
2021,HI,"2,490",766,157,"1,567","1,148","1,328",11,3,"2,135",355,437,87,160,12,994,800,153,17,136,0,0,132,21,65,23,13,1,23,28
2021,IA,"2,534",501,185,"1,848","1,008","1,521",3,2,"2,301",233,"1,753",521,41,89,13,117,120,6,114,0,0,117,3,95,18,0,4,0,3
2021,ID,"1,889",552,144,"1,120",484,530,3,0,863,154,890,37,4,44,4,38,128,4,92,0,0,89,7,92,0,1,3,0,0
2021,IL,"7,958","1,828",804,"5,142","3,373","4,370",25,6,"6,843",931,"2,688","4,657",78,64,24,263,402,27,370,4,1,380,22,167,225,1,1,0,8
2021,IN,"4,975",845,295,"3,835","1,865","3,093",10,7,"4,738",237,"3,110","1,619",43,40,19,144,495,29,466,0,0,475,20,273,205,0,4,3,10
2021,KS,"1,803",277,152,"1,374",694,"1,101",6,2,"1,608",195,"1,181",397,13,68,11,133,216,40,176,0,0,203,13,145,45,1,11,5,9
2021,KY,"2,544",372,203,"1,969","1,008","1,530",3,3,"2,420",124,"1,659",741,15,16,8,105,266,17,249,0,0,263,3,164,93,0,2,0,7
2021,LA,"2,131",298,146,"1,205",612,"1,029",8,0,"1,603",46,587,975,7,21,7,52,266,12,254,0,0,262,4,99,160,1,1,0,5
2021,MA,"15,079","5,900","1,165","7,998","7,535","7,487",31,10,"9,593","5,140","8,255","5,140",160,62,87,"1,029",534,33,497,2,2,489,45,381,129,3,4,3,14
2021,MD,"4,550",785,375,"3,361","1,747","2,759",14,1,"4,139",382,"1,460","2,776",40,32,27,184,281,31,250,0,0,268,13,87,183,0,3,2,6
