Year,State,Number of CoCs,Overall Homeless
2023,AK,2,"2,614"
2023,AL,8,"3,304"
2023,AR,5,"2,609"
2023,AS,0, 
2023,AZ,3,"14,237"
2023,CA,44,"181,399"
2023,CO,4,"14,439"
2023,CT,2,"3,015"
2023,DC,1,"4,922"
2023,DE,1,"1,245"
2023,FL,27,"30,756"
2023,GA,9,"12,294"
2023,GU,1,"1,075"
2023,HI,2,"6,223"
2023,IA,3,"2,653"
2023,ID,2,"2,298"
2023,IL,19,"11,947"
2023,IN,2,"6,017"
2023,KS,5,"2,636"
2023,KY,3,"4,766"
2023,LA,7,"3,169"
2023,MA,12,"19,141"
2023,MD,10,"5,865"
2023,ME,1,"4,258"
2023,MI,20,"8,997"
2023,MN,10,"8,393"
2023,MO,8,"6,708"
2023,MP,0, 
2023,MS,3,982
2023,MT,1,"2,178"
2023,NC,12,"9,754"
2023,ND,1,784
2023,NE,3,"2,462"
2023,NH,3,"2,441"
2023,NJ,16,"10,264"
2023,NM,2,"3,842"
2023,NV,3,"8,666"
2023,NY,24,"103,200"
2023,OH,9,"11,386"
2023,OK,8,"4,648"
2023,OR,8,"20,142"
2023,PA,16,"12,556"
2023,PR,2,"2,242"
2023,RI,1,"1,810"
2023,SC,4,"4,053"
2023,SD,1,"1,282"
2023,TN,10,"9,215"
2023,TX,11,"27,377"
2023,UT,3,"3,687"
2023,VA,16,"6,761"
2023,VI,1,252
2023,VT,2,"3,295"
2023,WA,6,"28,036"
2023,WI,4,"4,861"
2023,WV,4,"1,416"
2023,WY,1,532
2022,AK,2,"2,320"
2022,AL,8,"3,752"
2022,AR,5,"2,459"
2022,AS,0, 
2022,AZ,3,"13,553"
2022,CA,44,"171,521"
2022,CO,4,"10,397"
2022,CT,2,"2,930"
2022,DC,1,"4,410"
2022,DE,1,"2,369"
2022,FL,27,"25,959"
2022,GA,9,"10,689"
2022,GU,1,"1,087"
2022,HI,2,"5,967"
2022,IA,3,"2,419"
2022,ID,2,"1,998"
2022,IL,19,"9,212"
2022,IN,2,"5,449"
2022,KS,5,"2,397"
2022,KY,3,"3,984"
2022,LA,7,"7,373"
2022,MA,12,"15,507"
2022,MD,11,"5,349"
2022,ME,1,"4,411"
2022,MI,20,"8,206"
2022,MN,10,"7,917"
2022,MO,8,"5,992"
2022,MP,1,"1,207"
2022,MS,3,"1,196"
2022,MT,1,"1,585"
2022,NC,12,"9,382"
2022,ND,1,610
2022,NE,3,"2,246"
2022,NH,3,"1,605"
2022,NJ,16,"8,752"
2022,NM,2,"2,560"
2022,NV,3,"7,618"
2022,NY,24,"74,178"
2022,OH,9,"10,654"
2022,OK,8,"3,754"
2022,OR,8,"17,959"
2022,PA,16,"12,691"
2022,PR,2,"2,215"
2022,RI,1,"1,577"
2022,SC,4,"3,608"
2022,SD,1,"1,389"
2022,TN,10,"10,567"
2022,TX,11,"24,432"
2022,UT,3,"3,557"
2022,VA,16,"6,529"
2022,VI,1,175
2022,VT,2,"2,780"
2022,WA,6,"25,211"
2022,WI,4,"4,775"
