Year,State,State name,Overall Homeless,Population,Percent of Population
2023,AK,Alaska,2614,733406,0.0036
2023,AL,Alabama,3304,5108468,0.0006
2023,AR,Arkansas,2609,3067732,0.0009
2023,AZ,Arizona,14237,7431344,0.0019
2023,CA,California,181399,38965193,0.0047
2023,CO,Colorado,14439,5877610,0.0025
2023,CT,Connecticut,3015,3617176,0.0008
2023,DC,District of Columbia,4922,678972,0.0072
2023,DE,Delaware,1245,1031890,0.0012
2023,FL,Florida,30756,22610726,0.0014
2023,GA,Georgia,12294,11029227,0.0011
2023,HI,Hawaii,6223,1435138,0.0043
2023,IA,Iowa,2653,3207004,0.0008
2023,ID,Idaho,2298,1964726,0.0012
2023,IL,Illinois,11947,12549689,0.001
2023,IN,Indiana,6017,6862199,0.0009
2023,KS,Kansas,2636,2940546,0.0009
2023,KY,Kentucky,4766,4526154,0.0011
2023,LA,Louisiana,3169,4573749,0.0007
2023,MA,Massachusetts,19141,7001399,0.0027
2023,MD,Maryland,5865,6180253,0.0009
2023,ME,Maine,4258,1395722,0.0031
2023,MI,Michigan,8997,10037261,0.0009
2023,MN,Minnesota,8393,5737915,0.0015
2023,MO,Missouri,6708,6196156,0.0011
2023,MS,Mississippi,982,2939690,0.0003
2023,MT,Montana,2178,1132812,0.0019
2023,NC,North Carolina,9754,10835491,0.0009
2023,ND,North Dakota,784,783926,0.001
2023,NE,Nebraska,2462,1978379,0.0012
2023,NH,New Hampshire,2441,1402054,0.0017
2023,NJ,New Jersey,10264,9290841,0.0011
2023,NM,New Mexico,3842,2114371,0.0018
2023,NV,Nevada,8666,3194176,0.0027
2023,NY,New York,103200,19571216,0.0053
2023,OH,Ohio,11386,11785935,0.001
2023,OK,Oklahoma,4648,4053824,0.0011
2023,OR,Oregon,20142,4233358,0.0048
2023,PA,Pennsylvania,12556,12961683,0.001
2023,RI,Rhode Island,1810,1095962,0.0017
2023,SC,South Carolina,4053,5373555,0.0008
2023,SD,South Dakota,1282,919318,0.0014
2023,TN,Tennessee,9215,7126489,0.0013
2023,TX,Texas,27377,30503301,0.0009
2023,UT,Utah,3687,3417734,0.0011
2023,VA,Virginia,6761,8715698,0.0008
2023,VT,Vermont,3295,647464,0.0051
2023,WA,Washington,28036,7812880,0.0036
2023,WI,Wisconsin,4861,5910955,0.0008
2023,WV,West Virginia,1416,1770071,0.0008
2023,WY,Wyoming,532,584057,0.0009
2022,AK,Alaska,2320,733276,0.0032
2022,AL,Alabama,3752,5073903,0.0007
2022,AR,Arkansas,2459,3046404,0.0008
2022,AZ,Arizona,13553,7365684,0.0018
2022,CA,California,171521,39040616,0.0044
2022,CO,Colorado,10397,5841039,0.0018
2022,CT,Connecticut,2930,3608706,0.0008
2022,DC,District of Columbia,4410,670949,0.0066
2022,DE,Delaware,2369,1019459,0.0023
2022,FL,Florida,25959,22245521,0.0012
2022,GA,Georgia,10689,10913150,0.001
2022,HI,Hawaii,5967,1439399,0.0041
2022,IA,Iowa,2419,3199693,0.0008
2022,ID,Idaho,1998,1938996,0.001
2022,IL,Illinois,9212,12582515,0.0007
2022,IN,Indiana,5449,6832274,0.0008
2022,KS,Kansas,2397,2936716,0.0008
2022,KY,Kentucky,3984,4511563,0.0009
2022,LA,Louisiana,7373,4588023,0.0016
2022,MA,Massachusetts,15507,6982740,0.0022
2022,MD,Maryland,5349,6163981,0.0009
2022,ME,Maine,4411,1389338,0.0032
2022,MI,Michigan,8206,10033281,0.0008
2022,MN,Minnesota,7917,5714300,0.0014
2022,MO,Missouri,5992,6177168,0.001
2022,MS,Mississippi,1196,2938928,0.0004
2022,MT,Montana,1585,1122878,0.0014
2022,NC,North Carolina,9382,10695965,0.0009
2022,ND,North Dakota,610,778912,0.0008
2022,NE,Nebraska,2246,1968060,0.0011
2022,NH,New Hampshire,1605,1399003,0.0011
2022,NJ,New Jersey,8752,9260817,0.0009
2022,NM,New Mexico,2560,2113476,0.0012
2022,NV,Nevada,7618,3177421,0.0024
2022,NY,New York,74178,19673200,0.0038
2022,OH,Ohio,10654,11759697,0.0009
2022,OK,Oklahoma,3754,4019271,0.0009
2022,OR,Oregon,17959,4239379,0.0042
2022,PA,Pennsylvania,12691,12972091,0.001
2022,RI,Rhode Island,1577,1093842,0.0014
2022,SC,South Carolina,3608,5282955,0.0007
2022,SD,South Dakota,1389,909869,0.0015
2022,TN,Tennessee,10567,7048976,0.0015
2022,TX,Texas,24432,30029848,0.0008
2022,UT,Utah,3557,3381236,0.0011
2022,VA,Virginia,6529,8679099,0.0008
2022,VT,Vermont,2780,647110,0.0043
2022,WA,Washington,25211,7784477,0.0032
2022,WI,Wisconsin,4775,5890543,0.0008
2022,WV,West Virginia,1375,1774035,0.0008
2022,WY,Wyoming,648,581629,0.0011
2021,AK,Alaska,1949,734923,0.0027
2021,AL,Alabama,2556,5050380,0.0005
2021,AR,Arkansas,2139,3028443,0.0007
2021,AZ,Arizona,5460,7272487,0.0008
2021,CA,California,57468,39145060,0.0015
2021,CO,Colorado,8544,5811596,0.0015
2021,CT,Connecticut,2593,3603691,0.0007
2021,DC,District of Columbia,5111,669037,0.0076
2021,DE,Delaware,1579,1004881,0.0016
2021,FL,Florida,21121,21830708,0.001
2021,GA,Georgia,5486,10790385,0.0005
2021,HI,Hawaii,2490,1446745,0.0017
2021,IA,Iowa,2534,3197944,0.0008
2021,ID,Idaho,1889,1904537,0.001
2021,IL,Illinois,7958,12690341,0.0006
2021,IN,Indiana,4975,6813798,0.0007
2021,KS,Kansas,1803,2937946,0.0006
2021,KY,Kentucky,2544,4507600,0.0006
2021,LA,Louisiana,2131,4627047,0.0005
2021,MA,Massachusetts,15079,6991951,0.0022
2021,MD,Maryland,4550,6175045,0.0007
2021,ME,Maine,2063,1378787,0.0015
2021,MI,Michigan,6757,10038117,0.0007
2021,MN,Minnesota,6775,5717968,0.0012
2021,MO,Missouri,4926,6170393,0.0008
2021,MS,Mississippi,626,2949582,0.0002
2021,MT,Montana,1801,1106366,0.0016
2021,NC,North Carolina,7249,10567100,0.0007
2021,ND,North Dakota,548,777982,0.0007
2021,NE,Nebraska,1935,1964253,0.001
2021,NH,New Hampshire,1491,1387494,0.0011
2021,NJ,New Jersey,8262,9269175,0.0009
2021,NM,New Mexico,2747,2116950,0.0013
2021,NV,Nevada,7090,3146632,0.0023
2021,NY,New York,78920,19854526,0.004
2021,OH,Ohio,7915,11765227,0.0007
2021,OK,Oklahoma,2694,3991634,0.0007
2021,OR,Oregon,9048,4256465,0.0021
2021,PA,Pennsylvania,10339,13013614,0.0008
2021,RI,Rhode Island,1267,1097092,0.0012
2021,SC,South Carolina,3207,5193848,0.0006
2021,SD,South Dakota,817,896299,0.0009
2021,TN,Tennessee,6823,6963709,0.001
2021,TX,Texas,17295,29561286,0.0006
2021,UT,Utah,3565,3339284,0.0011
2021,VA,Virginia,5812,8657348,0.0007
2021,VT,Vermont,2591,647093,0.004
2021,WA,Washington,11511,7741433,0.0015
2021,WI,Wisconsin,4237,5879978,0.0007
2021,WV,West Virginia,1138,1785249,0.0006
2021,WY,Wyoming,405,579548,0.0007
2020,AK,Alaska,1949,733391,0.0027
2020,AL,Alabama,3351,5024279,0.0007
2020,AR,Arkansas,2366,3011524,0.0008
2020,AZ,Arizona,10979,7151502,0.0015
2020,CA,California,161548,39538223,0.0041
2020,CO,Colorado,9846,5773714,0.0017
2020,CT,Connecticut,2905,3605944,0.0008
2020,DC,District of Columbia,6380,689545,0.0093
2020,DE,Delaware,1165,989948,0.0012
2020,FL,Florida,27487,21538187,0.0013
2020,GA,Georgia,10234,10711908,0.001
2020,HI,Hawaii,6458,1455271,0.0044
2020,IA,Iowa,2647,3271616,0.0008
2020,ID,Idaho,2315,1839106,0.0013
2020,IL,Illinois,10431,12801989,0.0008
2020,IN,Indiana,5625,6785528,0.0008
2020,KS,Kansas,2449,2937880,0.0008
2020,KY,Kentucky,4011,4505836,0.0009
2020,LA,Louisiana,3173,4657757,0.0007
2020,MA,Massachusetts,17975,7029917,0.0026
2020,MD,Maryland,6360,6177224,0.001
2020,ME,Maine,2097,1362359,0.0015
2020,MI,Michigan,8638,10077331,0.0009
2020,MN,Minnesota,7940,5706494,0.0014
2020,MO,Missouri,6527,6154913,0.0011
2020,MS,Mississippi,1107,2961279,0.0004
2020,MT,Montana,1545,1084225,0.0014
2020,NC,North Carolina,9280,10439388,0.0009
2020,ND,North Dakota,541,779094,0.0007
2020,NE,Nebraska,2404,1961504,0.0012
2020,NH,New Hampshire,1675,1377529,0.0012
2020,NJ,New Jersey,9662,9288994,0.001
2020,NM,New Mexico,3333,2117522,0.0016
2020,NV,Nevada,6900,3104614,0.0022
2020,NY,New York,91271,20201249,0.0045
2020,OH,Ohio,10655,11799448,0.0009
2020,OK,Oklahoma,3932,3959353,0.001
2020,OR,Oregon,14655,4237256,0.0035
2020,PA,Pennsylvania,13375,13002700,0.001
2020,RI,Rhode Island,1104,1097379,0.001
2020,SC,South Carolina,4287,5118425,0.0008
2020,SD,South Dakota,1058,886667,0.0012
2020,TN,Tennessee,7256,6910840,0.001
2020,TX,Texas,27229,29145505,0.0009
2020,UT,Utah,3131,3205958,0.001
2020,VA,Virginia,5957,8631393,0.0007
2020,VT,Vermont,1110,643077,0.0017
2020,WA,Washington,22923,7705281,0.003
2020,WI,Wisconsin,4515,5893718,0.0008
2020,WV,West Virginia,1341,1793716,0.0007
2020,WY,Wyoming,612,576851,0.0011
